#date+time,051-pwl,051-surge,051-wsd,051-wdr
"06-02-2008 2248",NA,NA,NA,NA
"06-02-2008 2254",NA,NA,NA,NA
"06-02-2008 2300",NA,NA,NA,NA
"06-02-2008 2306",NA,NA,NA,NA
"06-02-2008 2312",NA,NA,NA,NA
"06-02-2008 2318",NA,NA,NA,NA
"06-02-2008 2324",NA,NA,NA,NA
"06-02-2008 2330",NA,NA,NA,NA
"06-02-2008 2336",NA,NA,NA,NA
"06-02-2008 2342",NA,NA,NA,NA
"06-02-2008 2348",NA,NA,NA,NA
"06-02-2008 2354",NA,NA,NA,NA
"06-03-2008 0000",NA,NA,NA,NA
"06-03-2008 0006",NA,NA,NA,NA
"06-03-2008 0012",NA,NA,NA,NA
"06-03-2008 0018",NA,NA,NA,NA
"06-03-2008 0024",NA,NA,NA,NA
"06-03-2008 0030",NA,NA,NA,NA
"06-03-2008 0036",NA,NA,NA,NA
"06-03-2008 0042",NA,NA,NA,NA
"06-03-2008 0048",NA,NA,NA,NA
"06-03-2008 0054",NA,NA,NA,NA
"06-03-2008 0100",NA,NA,NA,NA
"06-03-2008 0106",NA,NA,NA,NA
"06-03-2008 0112",NA,NA,NA,NA
"06-03-2008 0118",NA,NA,NA,NA
"06-03-2008 0124",NA,NA,NA,NA
"06-03-2008 0130",NA,NA,NA,NA
"06-03-2008 0136",NA,NA,NA,NA
"06-03-2008 0142",NA,NA,NA,NA
"06-03-2008 0148",NA,NA,NA,NA
"06-03-2008 0154",NA,NA,NA,NA
"06-03-2008 0200",NA,NA,NA,NA
"06-03-2008 0206",NA,NA,NA,NA
"06-03-2008 0212",NA,NA,NA,NA
"06-03-2008 0218",NA,NA,NA,NA
"06-03-2008 0224",NA,NA,NA,NA
"06-03-2008 0230",NA,NA,NA,NA
"06-03-2008 0236",NA,NA,NA,NA
"06-03-2008 0242",NA,NA,NA,NA
"06-03-2008 0248",NA,NA,NA,NA
"06-03-2008 0254",NA,NA,NA,NA
"06-03-2008 0300",NA,NA,NA,NA
"06-03-2008 0306",NA,NA,NA,NA
"06-03-2008 0312",NA,NA,NA,NA
"06-03-2008 0318",NA,NA,NA,NA
"06-03-2008 0324",NA,NA,NA,NA
"06-03-2008 0330",NA,NA,NA,NA
"06-03-2008 0336",NA,NA,NA,NA
"06-03-2008 0342",NA,NA,NA,NA
"06-03-2008 0348",NA,NA,NA,NA
"06-03-2008 0354",NA,NA,NA,NA
"06-03-2008 0400",NA,NA,NA,NA
"06-03-2008 0406",NA,NA,NA,NA
"06-03-2008 0412",NA,NA,NA,NA
"06-03-2008 0418",NA,NA,NA,NA
"06-03-2008 0424",NA,NA,NA,NA
"06-03-2008 0430",NA,NA,NA,NA
"06-03-2008 0436",NA,NA,NA,NA
"06-03-2008 0442",NA,NA,NA,NA
"06-03-2008 0448",NA,NA,NA,NA
"06-03-2008 0454",NA,NA,NA,NA
"06-03-2008 0500",NA,NA,NA,NA
"06-03-2008 0506",NA,NA,NA,NA
"06-03-2008 0512",NA,NA,NA,NA
"06-03-2008 0518",NA,NA,NA,NA
"06-03-2008 0524",NA,NA,NA,NA
"06-03-2008 0530",NA,NA,NA,NA
"06-03-2008 0536",NA,NA,NA,NA
"06-03-2008 0542",NA,NA,NA,NA
"06-03-2008 0548",NA,NA,NA,NA
"06-03-2008 0554",NA,NA,NA,NA
"06-03-2008 0600",NA,NA,NA,NA
"06-03-2008 0606",NA,NA,NA,NA
"06-03-2008 0612",NA,NA,NA,NA
"06-03-2008 0618",NA,NA,NA,NA
"06-03-2008 0624",NA,NA,NA,NA
"06-03-2008 0630",NA,NA,NA,NA
"06-03-2008 0636",NA,NA,NA,NA
"06-03-2008 0642",NA,NA,NA,NA
"06-03-2008 0648",NA,NA,NA,NA
"06-03-2008 0654",NA,NA,NA,NA
"06-03-2008 0700",NA,NA,NA,NA
"06-03-2008 0706",NA,NA,NA,NA
"06-03-2008 0712",NA,NA,NA,NA
"06-03-2008 0718",NA,NA,NA,NA
"06-03-2008 0724",NA,NA,NA,NA
"06-03-2008 0730",NA,NA,NA,NA
"06-03-2008 0736",NA,NA,NA,NA
"06-03-2008 0742",NA,NA,NA,NA
"06-03-2008 0748",NA,NA,NA,NA
"06-03-2008 0754",NA,NA,NA,NA
"06-03-2008 0800",NA,NA,NA,NA
"06-03-2008 0806",NA,NA,NA,NA
"06-03-2008 0812",NA,NA,NA,NA
"06-03-2008 0818",NA,NA,NA,NA
"06-03-2008 0824",NA,NA,NA,NA
"06-03-2008 0830",NA,NA,NA,NA
"06-03-2008 0836",NA,NA,NA,NA
"06-03-2008 0842",NA,NA,NA,NA
"06-03-2008 0848",NA,NA,NA,NA
"06-03-2008 0854",NA,NA,NA,NA
"06-03-2008 0900",NA,NA,NA,NA
"06-03-2008 0906",NA,NA,NA,NA
"06-03-2008 0912",NA,NA,NA,NA
"06-03-2008 0918",NA,NA,NA,NA
"06-03-2008 0924",NA,NA,NA,NA
"06-03-2008 0930",NA,NA,NA,NA
"06-03-2008 0936",NA,NA,NA,NA
"06-03-2008 0942",NA,NA,NA,NA
"06-03-2008 0948",NA,NA,NA,NA
"06-03-2008 0954",NA,NA,NA,NA
"06-03-2008 1000",NA,NA,NA,NA
"06-03-2008 1006",NA,NA,NA,NA
"06-03-2008 1012",NA,NA,NA,NA
"06-03-2008 1018",NA,NA,NA,NA
"06-03-2008 1024",NA,NA,NA,NA
"06-03-2008 1030",NA,NA,NA,NA
"06-03-2008 1036",NA,NA,NA,NA
"06-03-2008 1042",NA,NA,NA,NA
"06-03-2008 1048",NA,NA,NA,NA
"06-03-2008 1054",NA,NA,NA,NA
"06-03-2008 1100",NA,NA,NA,NA
"06-03-2008 1106",NA,NA,NA,NA
"06-03-2008 1112",NA,NA,NA,NA
"06-03-2008 1118",NA,NA,NA,NA
"06-03-2008 1124",NA,NA,NA,NA
"06-03-2008 1130",NA,NA,NA,NA
"06-03-2008 1136",NA,NA,NA,NA
"06-03-2008 1142",NA,NA,NA,NA
"06-03-2008 1148",NA,NA,NA,NA
"06-03-2008 1154",NA,NA,NA,NA
"06-03-2008 1200",NA,NA,NA,NA
"06-03-2008 1206",NA,NA,NA,NA
